abandon[2'b9nd2n]vt. 放弃
amplification[9mplifi'kei62n]n. 扩大；加强
amplifier['9mplifait]n. 放大器
analogy[2'n9l2d7i]n. 类比
anatomy[2'n9t2mi]n. 解剖
ancestor['9nsist2]n. 祖宗；祖先
ancestral[9n'sestr2l]a. 祖先的
anchor['98k2]n. 锚
ancillary['9nsil2ri]a. 附属的，从属的
angiotensin['9nd7iou'tens2n]n. 高血压素；血管收缩素
ankle['98kl]n. 踝
annex[2'neks]vt. 并吞；附加
annual['9nju2l]a. 一年一度的
antagonist[9n't9g2nist]n. 敌手，对抗者
Antarctic[9nt'1:ktik]a. 南极的
Antarctic[9nt'1:ktik]a. & n. 南极(的)
anthropologist[9n4r2'p0l2d7ist]n. 人类学家
anti-Federalist[]反北部联邦同盟者
antiquate['9ntikwit]vt. 淘汰，废弃
antiquated['9ntikwitid]a. 陈旧的，老式的
antiquity[9n'tikwiti]n. 古代；古人们
apathy['9p24i]n. 无动于衷
apothecary[2'p04ikeri]n. 药剂师
apparent[2'p9r2nt]a. 明显的
appeal[2'pi:l]n. 吸引力；感染力
appealing[2'pi:li8]a. 有吸引力的
application[9pli'kei62n]n. 适用；用途
apply[2'plai]vt. 涂；添加；应用
appoint[2'p0int]vt. 任命
appointment[2'p0intm2nt]n. 任命
apportion[2'p0:62n]vt. 分配
apposite['9p2zit]a. 适当的
appraisal[2'preizl]n. 评估；估价
appreciable[2'pri:62bl]a. 相当可观的；可估量的
apprentice[2'prentis]vt. 使当学徒
approach[2'pr2ut6]vt. 接近；靠近，n. 方法；态度
appropriate[2'pr2upriit]a. 私占，侵占；挪用；拨款
approve[2'pru:v]vt. 赞成，称许；批准
aquamarine[9kw2m2'ri:n]n. 海蓝宝石
arboreal[1:'bouri2l]a. 栖于树木的
arcade[a:'keid]n. 拱形建筑物
arch[a:t6]vt. 使成弓形
archaeologist[a:ki2'l0d7ist]n. 考古学家
archaeology[a:ki'0l2d7i]n. 考古学
architectural[a:ki'tekt62r2l]a. 建筑上的
Arctic['a:ktik]a. & n. 北极(的)
arduous['a:dju2s]a. 艰苦的
arid['9rid]a. 干旱的
arithmetic[2'ri4m2tik]n. 算术；演算
armor['1:m2]n. 盔甲
armour['a:m2]n. 盔甲
arranger[]n. 改编乐曲的人
arsenal['a:sinl]n. 军工厂
arthritis[1:'4raitis]n. 关节炎
article['a:tikl]n. 条款，n. 物品
artifact['1:tif9kt]n. 制造物；人工制品
artificial[a:ti'fi62l]a. 人工的
artisan[a:ti'z9n]n. 工匠；手工艺人
artistry['1:tistri]n. 艺术才能
aspect['9spekt]n. 方面
asphalt['9sf9lt]n. 沥青
assemble[2'sembl]vt. 召集
assert[2's2:t]vt. 坚定地断言；坚持
associate[2's2u6ieit]vt. 联接
associate[2's2u6ieit]n. 伙伴，同事
association[2s2usi'ei62n]n. 联系
assume[2'sju:m]vt. 假定；想当然地认为；采取；承担，就(职)；
assumption[2's3mp62n]n. 假设
assure[2'6u2]vt. 向...保证；使确信
asteroid['9st2r0id]n. 小行星；流星
astrobleme[]n. 陨星坑
astronaut['9st62un0:t]n. 宇航员
astronomer[2s'tr0n2m2]n. 天文学家
atheist['ei4iist]n. 无神论者
athlete['94li:t]n. 运动员
attain[2'tein]vt. 达到，获得
attainment[2'teinm2nt]n. 成就
attribute['9tribju:t]n. 属性；特性
auditorium[0:di't0:ri2m]n. 观众席；礼堂
authentic[0:'4entik]a. 真实的
authority[0:'40riti]n. 权力,权威
authorization[0:42rai'zei62n]n. 授权；批准
auto-education[]自我教育
autonomy[0:'t0n2mi]n. 自主；自治权
auxiliary[0:g'zilj2ri]a. 辅助的
availability[2veil2'biliti]n. 可用性；可得性
available[2'veil2bl]a. 可获得的
avalanche['9v2la:n6]n. 雪崩；山崩
avant-garde['9va:'ga:d]n. 先锋；前驱
avenue['9vinju:]n. 渠道；大街，林荫道
average['9v2rid7]vi. 平均,a. 平均的, 一般的
aviation[eivi'ei62n]n. 航空
aviator['eivieit2]n. 飞行员
avid['9vid]a. 热心的；贪婪的
awareness[2'w/2nis]n. 认识；意识
axis['9ksis]n. 轴；轴线
baboon[b2'bu:n]n. 狒狒
back-breaking[]a. 使人劳累之极的；断人腰背的
backbreaking['b9kbreiki8]a. 费力的
background['b9kgraund]n. 背景
bacteria[b9k'ti2ri2]n. (bacterium的复数)细菌
bag[b9g]vt. 把...装进口袋
balance['b9l2ns]n. 平衡
baleen[b2'li:n]n. 鲸须
ballad['b9l2d]n. 民谣
ballet['b9lei, b9'lei]n. 芭蕾舞
ballroom['b0:lru:m]n. 舞厅
band[b9nd]n. 乐队
band[b9nd]n. 波段
bandanna[]n. 印花大手帕
bankruptcy['b98kr2ptsi]n. 破产
barge[ba:d7]n. 驳船
barrel['b9r2l]n. 桶
barrelful['b9r2lful]n. 一桶之量
barren['b9r2n]a. 贫瘠的；不毛的
barrier['b9ri2]n. 障碍；屏障
base[beis]a. 差的；次的
basin['beisn]n. 流域；海盆
bass[beis]n. 低音乐器；男低音
beacon['bi:k2n]n. 灯塔；指向标
beam[bi:m]n. 光线，光柱
bear[b/2]vt. 带有
beast[bi:st]n. 野兽
beaver['bi:v2]n. 河狸
bed[bed]n. 苗床
bedrock[bed'r0k]n. 基岩
belle[bel]n. 靓女
beloved[bi'l3vd]a. 敬爱的；受爱戴的
beluga[b2'lu:g2]n. 白鲸
bend[bend]vt. 弯曲
beneficial[beni'fi62l]a. 有益的
benefit['benifit]n. 好处；利益
besiege[bi'si:d7]vt. 围困
bestow[bi'st2u]vt. 给予
beyond[bi'j0nd]prep. ［表示位置］在...的那边
bifocal[bai'foukl]a. 双焦点的
billion['bilj2n]num. (英，德)万亿；(美，法)十亿
biographer[bai'0gr2f2]n. 传记作者
biographical[bai2'gr9fikl]a. 传记(体)的
biography[bai'0gr2fi]n. 传记；志
biological[bai2'l0d7ik2l]a. 生物的
birthright['b2:4rait]n. 与生俱来的权力
bison['baisn]n. 野牛
bitterness['bit2nis]n. 痛苦
bituminous[bi'tju:min2s]a. (含)沥青的
blackout['bl9kaut]n. 断电
blame[bleim]vt. 责备
blanket['bl98kit]n. 毯子；覆盖层
blast[bla:st]vt. 爆破；摧毁
blaze[bleiz]vi. 闪耀；发(强)光
bleak[bli:k]a. 荒凉的
blink[bli8k]vi. 眨眼睛
block[bl0k]vt. 阻挡,n. 大块
blower['blou2]n. 增压器
board[b0:d]n. 委员会
boast[b2ust]vt. 有；以拥有...而自豪
bombard[b0m'ba:d]vt. 不断攻击；炮击
bonanza[bou'n9nz2]n. 富源
bond[b0nd]n. 债券
bone-boiling[]熬骨
bony['b2uni]a. 多骨的；瘦的
booklet['buklit]n. 小册子
boom[bu:m]n. 兴旺
border['b0:d2]n. 边界
border['b0:d2]n. 行成...的边界
bore[b0:]n. (管道等的)内膛；内径
botanical[b2't9nikl]a. 植物(学)的
botanical[b2't9nikl]a. 植物学的
botanist['b0t2nist]n. 植物学家
botany['b0t2ni]n. 植物学
bound[baund]n. (常用复数)限制范围；界线
boundary['baund2ri]n. 分界线，边界
branch[bra:nt6]n. 树枝, 分支(学科)
brawl[br0:l]v. 争吵；吵架
break-up[]n. 分散，分离
breakdown['breikdaun]n. 分解
breakthrough['breik4ru:]n. 突破
breathtaking[]激动人心的
breed[bri:d]vt. 繁殖；培育
breeze[bri:z]n. 微风；轻风
brilliance['brilj2ns]n. (声音的)清晰动人；光辉
brittle['britl]a. 易碎的
bromine['broumi:n]n. 溴
bubble['b3bl]vi. 沸腾
buckskin[]n. 鹿皮
bud[b3d]n. 芽，苞
bugle['bju:gl]n. 军号；喇叭，号角
built-in[]a. 内置的
bulge[b3ld7]vi. 凸出
bulk[b3lk]n. 体积；大部分
bulldoze['buldouz]vt. 推平
bulldozer['buldouz2]n. 推土机
bunch[b3nt6]n. 群；帮.伙
burdensome['b2:dms2m]a. 难以负担的；沉重的
burgeon['b2:d72n]vi. 迅速生长；发芽；抽枝
burial['beri2l]n. 掩埋，葬
burrow['b3r2u]n. (免，狐的)地洞；穴
burst[b2:st]n. 迸发
bush[bu6]n. 藻木丛
cabinet['k9binit]n. 储藏柜
cacti['k9ktai]n. (cactus的复数)仙人掌
calculate['k9lkjuleit]vt. 预算；估计
calculate['k9lkjuleit]v. 估计
calory['k9l2ri]n. 卡路里
Calvinist['k9lvinist]n. 加尔文主义(的)
camouflage['k9mufl07]vt. 伪装
campaign[k9m'pein]vi. 从事活动；参加运动
campaign[k9m'pein]n. 竞选活动
canal[k2'n9l]n. 水道；运河, (动植物体内的)管，*
canary[k2'n/2ri]n. 金丝雀
candidate['k9ndidit]n. 候选人
cane[kein]n. 手杖
canoe[k2'nu:]n. 小划子，独木舟
capability[keip2'biliti]n. 性能；能力
capacity[k2'p9siti]n. 容量；承受力
capital['k9pitl]n. 资本
captain['k9ptin]n. 上校
captivating['k9ptiveiti8]a. 迷人的；可爱的
carat['k9r2t]n. 公制克拉(钻石等珠宝的重量单位)
carbohydrate['ka:b2u'haidreit]n. 碳水化合物
cardinal['ka:dinl]a. 基本的；主要的
career[k2'ri2]n. 职业；生涯
caribou['k9r2bu:]n. 北美驯鹿
carnivorous[k1:'niv2r2s]a. 食肉的
cartoon[ka:'tu:n]n. 漫画
carve[ka:v]vt. 雕刻；切
cast-iron[]a. 用铸铁制的
casual['k97ju2l]a. 满不经心的；随意的
catalog['k9t2l0g]n. 目录
catalog['k9t2l0g]v. 编目录
catalyze['k9t2laiz]vt. 促成，刺激；催化
category['k9tig2ri]n. 类别
caterpillar['k9t2pil2]n. (动)毛虫
cathedral[k2'4i:dr2l]n. 大教堂；教区
cattle['k9tl]n. 牛
cautious['k0:62s]a. 谨慎的
cave-in[]坍塌
cavity['k9viti]n. 腔；洞；穴
cease[si:s]vt. 停止，结束
ceiling['si:li8]n. 天花板；屋顶
celebrate['selibreit]vt. 纪念，歌颂；赞美
celebrated['selibreitid]a. 著名的
celebrity[si'lebriti]n. 名人；名流
cell[sel]n. 细胞
cellar['sel2]n. 地窖；地下室
cellular['seljul2]a. 细胞的
census['sens2s]n. 统计数字；普查
centimeter[]n. 厘米
centralize['sentr2laiz]vt. 使集权
ceremonial[seri'm2unj2l]a. 仪式的；礼节的
ceremony['serim2ni]n. 仪式；典礼
chafe[t6eif]vt. 擦伤；磨损
chain[t6ein]n. 连锁，一系列,vt. 拘禁；用链条拴住
challenge['t69l2nd7]vt. & n. 挑战
challenging[]a. 具有挑战性的
champion['t69mpj2n]vt. 支持
channel['t69nl]n. 渠道
chaos['kei0s]n. 纷乱；一团糟
chaotically[]ad. 混乱的；无秩序
character['k9rikt2]n. 本性；特性
characteristic[k9rikt2'ristik]n. 特征；特点
characterize['k9rikt2raiz]vt. 显示...的特色
charge[t6a:d7]n. 指控
charitable['t69rit2bl]a. 宽厚的
charm[t6a:m]n. 魅力
charter['t6a:t2]n. 宪章
chase[t6eis]vt. 追赶
chaste[t6eist]a. 朴实无华的；高雅的；高尚的
check[t6ek]vt. 控制
cheerless['t6i2lis]a. 寡欢的
chemurgy['kem2:d7i]n. 农业化学
cherish['t6eri6]vt. 抱有；怀有
Chicano[t6i'ka:nou]n. 住在美国的墨西哥人
chief[t6i:f]n. 奠长
child-care[]照料孩子
chilled-steel[]n. 淬火钢；硬化钢
chilly['t6ili]a. 寒冷的
chimpanzee[t6imp2n'zi:]n. 黑猩猩
chip[t6ip]vi. 削下碎片
chirp[t62:p]vi. 吱吱叫
chlorine['kl0:ri:n]n. 氯
chlorophyll[]n. 叶绿素
chondrite['k0ndrait]n. 球粒陨石
choppy['t60pi]a. 波涛起伏的
chord[k0:d]n. 心弦
choreographer[k0:ri'0gr2f2]n. 舞蹈编导
choreography[k1:i2'gr9fi]n. 编舞蹈；编舞术
chromosphere['kroum2'sfi2]n. (太阳的)色球层
chronological['kr0n2'l0d7ikl]a. 按年月顺序的
chunk[t638k]n. 厚片，大块
church-connected[]与教堂有关系的
churn[t62:n]vi. (波涛)翻腾；剧烈搅动
cipher['saif2]vt. 运算
circle['s2:kl]vt. 围绕,n. 范围；领域
circulate['s2:kjuleit]vt. 使循环
citadel['sit2dl]n. 堡垒；避难所
cite[sait]vt. 引用
civic['sivik]a. 城市的；公民的
civilian[si'vilj2n]n. 平民百姓;a. 平民百姓的
civilization[sivilai'zei62n]n. 文明
claim[kleim]vt. 要求得到
clarify['kl9rifai]vt. 使清晰明了；澄清
clarity['kl9riti]n. 清晰
clash[kl96]n. 冲突，不协调
class[kla:s]n. 类别
classic['kl9sik]a. 古典的
classify['kl9sifai]vt. 分类
clavichord['kl9vik0:d]n. (敲弦)古钢琴
claw[kl0:]n. 爪
clay[klei]n. 泥土
clear-cut[]a. 轮郭分明的；清晰的
clergy['kl2:d7i]n. (总称)教牧人员；神职人员
clergyman['kl2:d7im2n]n. 牧师；教士
click[klik]vi. 卡嗒声
client['klai2nt]n. 客户
cliff[klif]n. 悬崖
clip[klip]vt. 剪；删
clue[klu:]n. 线索，提示
clumsy['kl3mzi]a. 笨手笨脚的
cluster['kl3st2]n. 一组；一群;vi. 群集，丛生
coach[k2ut6]n. 教练
coalescence[kou2'lesns]n. 聚结；凝聚
coalition[kou2'li62n]n. 联盟；联合, 条约，协定
coaming['koumi8]n. 舱口拦板
coarse[k0:s]a. 粗糙的
coat[k2ut]n. 皮毛,层
coax[k2uks]vt. 耐心地摆弄；哄诱
code[k2ud]n. 准则；范围
codify['k0difai]vt. 编集成典(意指模式化的)
coelenterate[si:'lent2rit]n. 腔肠动物
cognitive['k0gnitiv]a. 认知的
coherence[kou'hi2r2ns]n. 一致性
cohesion-tension[]内聚压力(亦作cohesion pressure)
cohesive[kou'hi:siv]a. 内聚(力)的；有黏合性的
coincidence[k2uin'sid2ns]n. 巧合
collaborator[k2'l9b2reit2]n. 协作者；合作者
collapse[k2'l9ps]v. & n. 倒坍；崩溃
collarless[]a. 无领的
collection[k2'lek62n]n. 收集；收藏
collision[k2'li7(2)n]n. 碰撞
colonel['k2:nl]n. 陆军上校
colonize['k0l2naiz]vt. 在...开拓殖民地
colossal[k2'l0sl]a. 巨大的
column['k0l2m]n. 柱
combat['k0mb9t]v. 跟...斗争
comedy['k0midi]n. 喜剧
comet['k0mit]n. 彗星
comical['k0mik2l]a. 滑稽的，可笑的
commemorate[k2'mem2reit]vt. 纪念
commercial[k2'm2:62l]a. 商业的
commissioner[k2'mi62n2]n. 地方长官
commitment[k2'mitm2nt]n. 承诺
commodity[k2'm0diti]n. 商品
commonwealth['k0m2nwel4]n. (美国的)州；联邦
communal['k0mjunl]a. 公有的
community[k2'mju:niti]n. 社区,团体,(生)群落
commute[k2'mju:t]n. 承车上下班
compact['k0mp9kt, k2m'p9kt]a. 紧凑的；密集的
compaction[]n. 压实
company['k3mp2ni]n. 陪同；交往
compass['k3mp2s]n. 罗盘
compensatory[k2m'pens2touri]a. 补偿性的
compete[k2m'pi:t]vi. 对抗
competence['k0mpit2ns]n. 能力
competition[k0mp2'ti62n]n. 比赛；竞争
competitive[k2m'petitiv]a. 竞争的
compilation[k0mpi'lei62n]n. 汇编
compile[k2m'pail]vt. 汇编；收集
complement['k2mplim2nt]vt. 补足；补充；完善
complementary[k0mpli'men't2ri]a. 互补的，补充的
complex['k0mpleks]a. 复杂的,n. 复合体；综合建筑
complexity[k2m'pleksiti]n. 复杂(性)；复杂的事物
complicated['k0mplikeitid]a. 复杂的；难解的
compose[k2m'p2uz]vt. 组成
composer[k2m'p2uz2]n. 作曲家
composition[k0mp2'zi62n]n. 组成，构成
comprehensible[k0mpri'hens2bl]a. 可理解的
comprehensive[k0mpri'hensiv]a. 综合的
compress[k2m'pres]vt. 压缩；浓缩
compressed[k2m'prest]a. 压缩的，压紧的
comprise[k2m'praiz]vt. 构成
compromise['k0mpr2maiz]n. 妥协
concave['k0n'keiv]a. 凹面的
conceal[k2n'si:l]vt. 掩盖；隐瞒
concede[k2n'si:d]vt. 承认
conceive[k2n'si:v]vt. 设想；想象
conceive[k2n'si:v]vt. 构想出
concentrated['k0nsentreitid]a. 浓缩的
concentration[k0ns2n'trei62n]n. 浓度, 集中(物)
concept['k0nsept]n. 概念
concern[k2n's2:n]n. 担扰；关心
concert['k0ns2t]n. 音乐会
concrete['k0nkri:t]a. 具体的
condemn[k2n'dem]vt. 批评；责备
condense[k2n'dens]v. 凝聚，凝结,vt. 压缩
conduct['k0nd2kt, k2n'd3kt]vt. 进行(研究)
conductor[k2n'd3kt2]n. 导体, 列车员, 指挥
confederacy[k2n'fed2r2rsi]n. 联盟
confer[k2n'f2:]vt. 授予
confide[k2n'faid]vt. 吐露
confidence['k0nfid2ns]n. 信心
confident['k0nfid2nt]a. 有信心的
configuration[k2nfigju'rei62n]n. 形状；布局
confine[k2n'fain]vt. 限制；禁闭
confirm[k2n'f2:m]vt. 进一步证实
conflict['k0nflikt, k2n'flikt]n. 冲突
confluence['k0nflu2ns]n. 汇集
conform[k2n'f0:m]vi. 与...一致
conformity[k2n'f0:miti]n. 一致
confront[k2n'fr3nt]vt. 面临
congenial[k2n'd7i:nj2l]a. 协调的；意气相投的
congestion[k2n'd7est62n]n. 拥挤
conifer['kounif2]n. 松柏目植物
connect[k2'nekt]vt. 连接
connection[k2'nek62n]n. 连接线
connoisseur[k0:ni's2:]n. 行家；内行
conscription[k2n'skrip62n]n. 征募
consent[k2n'sent]n. 同意；准许
consequence['k0nsikw2ns]n. 结果；后果
consequent['k0nsikw2nt]a. 随之发生的
consequently['k0nsikw2ntli]ad. 合乎逻辑的；随之发生的
conservation[k0ns2(:)'vei62n]n. 保护
conservative[k2n's2:v2tiv]a. 保守的；守旧的
considerably[k2n'sid2r2bli]ad. 十分地；相当地
considerate[k2n'sid2rit]a. 考虑周到的
consortium[k2n's0:6i2m]n. (复数consortia)国际性协会
constantly['k0nst2ntli]ad. 不断地
constitution[k0nsti'tju:62n]n. 章程, 宪法
constitutional[k0nsti'tju:62nl]a. 宪法的；章程的
constrain[k2n'strein]vt. 强迫；压制，抑制
constrict[k2n'strikt]vt. 约事；收缩
construction[k2n'str3k62n]n. 建筑物
consume[k2n'sju:m]vt. 消耗；花费
consumer[k2n'sju:m2]n. 消费者
consumption[k2n's3mp62n]n. 消耗
contemporary[k2n'temp2r2ri]n. 同时代的人,a. 当代的
contend[k2n'tend]vt. 声称，主张，认为
contender[]n. 竞争者
content['k0ntent, k2n'tent]n. 容量；含量
contest[k2n'test, 'k0ntest]n. 比赛,vt. 争夺(地盘，阵地，席位等)
continental[k0nti'nentl]a. 大陆(性)的
continuum[k2n'tinju2m]n. 连续统；闭联集
contract['k0ntr9kt, k2n'tr9kt]v. 收缩
contradict[k0ntr2'dikt]vt. 反驳；与...发生矛盾；抵触
contribution[k0ntri'bju:62n]n. 贡献
controversial[k0ntr2'v2:62l]a. 有争论的
controversy['k0ntr2v2:si]n. 争论；论战
convention[k2n'ven62n]n. 会议
conventional[k2n'ven62nl]a. 习惯的，符合传统的
converge[k2n'v2:d7]vi. 汇合
converse[k2n'v2:s, 'k0nv2:s]vi. 交谈
convex['k0nveks]a. 凸的
convey[k2n'vei]vt. 传递
convey[k2n'vei]vt. 运输
convict[k2n'vikt, 'k0nvikt]vt. 证明...有罪，宣判有罪
conviction[k2n'vik62n]n. 确信，深信
convince[k2n'vins]vt. 使信服；使确信
convincing[k2n'vinsi8]a. 令人信服的
coordinated[]a. 协调的
coordination[k2u0:di'nei62n]n. 协调
copy['k0pi]vt. 仿照
coral['k0r2l]n. 珊瑚
cord[k0:d]n. 绳；线；带
corona[k2'roun2]n. 日冕；冠状物
corps[k0:]n. 队；团；特殊兵种
corral[k0:'r1:l]vt. 占有，围住
correspondingly[k0ris'p0ndi8li]ad. 相应地
corridor['k0rid0:]n. 地带；走廊
corset['k0:sit]n. 紧身衣
cosmic['k0zmik]a. 宇宙的
cosmopolitan[k0zm2'p0lit2n]a. 不限于国家或地区范围的；全世界的
cosmos['k0zm0s]n. 宇宙
costume['k0stju:m]n. 服饰
council['kaunsil]n. 议会；理事会
counterbalance[kaunt2'b9l2ns]vt. 使平衡
counterpart['kaunt2pa:t]n. 对应的人(或物)
course[k0:s]n. 发展；进程
cowhand[]n. 牧牛工
crack[kr9k]n. 裂缝
craft[kra:ft]n. 手工艺, 船只, 工艺，手艺
crash[kr96]n. 暴跌；坠落
crater['kreit2]n. 陨石坑；火山口
crawl[kr0:l]vi. 爬
creature['kri:t62]n. 生物
credit['kredit]n. 荣誉
crew[kru:]n. 人员
crisscross['kriskr0s]vt. 交叉
criteria[krai'tiri2]n. (criterion的复数)标准
critic['kritik]n. 批评家
critical['kritik2l]a. 批评的, 关键的；必不可少的
crooked['krukid]a. 不老实的，欺诈的
crowbar[]n. 撬棍
crucial['kru:6i2l]a. 至关重要的
crude[kru:d]a. 粗糙的；原始的
crudely['kru:dli]ad. 粗糙地；未加工地
crumple['kr3mpl]vt. 扭弯；弄皱
crunch[kr3nt6]n. 左右为难的困境；艰难局面
crush[kr36]vt. 压塌
crust[kr3st]n. 地壳
crustacean[kr3s'tei6i2n]n. 甲壳动物
crystal['kristl]n. 晶体
cubic['kju:bik]a. 立方的
cultivate['k3ltiveit]vt. 养殖
cultivate['k3ltiveit]vt. 耕种
curator['kju2'reit2]n. 馆长
curio['kju2riou]n. 古董；珍品
curiosity[kju2ri'0siti]n. 好奇心
current['k3r2nt]n. 水流
currently['k3r2ntli]ad. 现在
curriculum[k2'rikjul2m]n. 课程(设置)
customs['k3st2mz]n. 海关；关税
cut-and-try[]试验法的
cyan[]n. (介乎绿色和蓝色之间的)青色
cycle['saikl]n. 周期
cycle['saikl]n. 循环；周期
cylindrical[]a. 圆筒形的
dam[d9m]n. 坝
dampen['d9mp2n]vt. 使潮湿
dart[da:t]vi. 急速移动；飞奔；投掷
data['deit2]n. (datum的复数)数据；资料
dawn-horse[]始祖马
dawning['d0:ni8]n. 开端，黎明
dazzlingly[]ad. 耀眼地
deaccess[]vt. 拍卖；出售
dealer['di:l2]n. 画商
dean[di:n]n. 系主任
debris[d2'bri:]n. 碎片
debt[det]n. 债务
debtor['det2]n. 负债者
debut['deibju:]n. 首次登台演出
decade['dekeid]n. 十年
decay[di'kei]n. 破败；衰败
deccication[]n. 脱水；干贮
deceive...into...[]欺骗...来(做)
deception[di'sep62n]n. 欺骗
decline[di'klain]n. 衰退；下降
decor[]n. 装饰；装璜
decorative['dek2r2tiv]a. 装饰的
deed[di:d]n. 行为
deem[di:m]vt. 认为；相信
deficiency[di'fi62nsi]n. 不足, 缺陷
define[di'fain]vt. 限定；定义
definite['definit]a. 明确的
definition[defi'ni62n]n. 定义
deforestation[di:f0:ris'tei62n]n. 滥伐森林
deity['di:iti]n. 神；上帝
delectable[di'lekt2bl]a. 美味的
deliberately[di'lib2ritli]ad. 故意地，慎重地
delineate[di'linieit]vt. 描绘；画出...轮廓
deliver[di'liv2]vt. 发表，讲；投递,n. 交付；交货
demobilize[di:'moubilaiz]vt. 使(军人)复员
Democratic[dem2'kr9tik]a. (美国)民主党的
demolition[dem2'li62n]n. 拆毁；毁坏
demonstrate['dem2nstreit]vt. 论证；说明
